Date,High,Low,Open,Close,Volume,Adj Close
1/3/2007,142.8600006,140.5700073,142.25,141.3699951,94807600,106.932106
1/4/2007,142.0500031,140.6100006,141.2299957,141.6699982,69620600,107.1590271
1/5/2007,141.3999939,140.3800049,141.3300018,140.5399933,76645300,106.3042831
1/8/2007,141.4100037,140.25,140.8200073,141.1900024,71655000,106.7959976
1/9/2007,141.6000061,140.3999939,141.3099976,141.0700073,75680100,106.7051849
1/10/2007,141.5700073,140.3000031,140.5800018,141.5399933,72428000,107.0607147
1/11/2007,142.6199951,141.5,141.5800018,142.1600037,54476800,107.5296783
1/12/2007,143.2400055,142.1100006,142.1499939,143.2400055,55370600,108.3465958
1/16/2007,143.4400024,142.7299957,143.0700073,142.9600067,44871300,108.1347885
1/17/2007,143.4600067,142.7299957,142.8500061,143.0200043,50241400,108.1802063
1/18/2007,143.2599945,142.3099976,143.1699982,142.5399933,68177300,107.817131
1/19/2007,143.1000061,142.4600067,142.5399933,142.8200073,56973000,108.0289078
1/22/2007,143.1000061,141.9299927,143.0700073,142.3800049,60253600,107.6961212
1/23/2007,143.0800018,142.0599976,142.2599945,142.8000031,54064400,108.0137939
1/24/2007,143.9799957,142.9100037,142.9700012,143.9499969,55834700,108.8836365
1/25/2007,143.9199982,142.0099945,143.8600006,142.2599945,73583800,107.6053162
1/26/2007,142.6499939,141.5800018,142.5700073,142.1300049,67255600,107.5070038
1/29/2007,142.8000031,141.7400055,142.1900024,142.0500031,66114600,107.4465027
1/30/2007,142.8600006,142.0599976,142.3500061,142.7899933,70407600,108.006218
1/31/2007,144.1300049,142.3999939,142.6300049,143.75,91868600,108.7323761
2/1/2007,144.6600037,143.9100037,144.1499939,144.6100006,69312400,109.3828659
2/2/2007,144.9499969,144.3800049,144.7299957,144.8099976,49607000,109.5341339
2/5/2007,144.9400024,144.3399963,144.6999969,144.8500061,45705300,109.5643921
2/6/2007,145.0299988,144.3300018,144.9700012,144.8899994,57081300,109.5946579
2/7/2007,145.3600006,144.5700073,145.1199951,145.2100067,55669700,109.8367157
2/8/2007,145.1199951,144.2700043,144.7799988,145.0200043,70641000,109.6929932
2/9/2007,145.3300018,143.3899994,145.0599976,143.9400024,79084400,108.8760681
2/12/2007,144.0399933,143.1900024,143.9400024,143.4499969,65657000,108.5054474
2/13/2007,144.8999939,143.7599945,143.7700043,144.6600037,64081800,109.4206467
2/14/2007,145.8999939,144.7799988,144.8000031,145.6100006,66039400,110.1392441
2/15/2007,145.9499969,145.4299927,145.6699982,145.8000031,38715200,110.2829437
2/16/2007,145.7599945,145.2299957,145.4400024,145.7299957,39841800,110.2300262
2/20/2007,146.1999969,145,145.5599976,146.0399933,56911800,110.4645004
2/21/2007,146.0700073,145.3500061,145.6100006,145.9799957,63971600,110.4191284
2/22/2007,146.4199982,145.1699982,146.0500031,145.8699951,79067400,110.3359528
2/23/2007,145.7899933,145.0299988,145.7400055,145.3000031,71966200,109.9047546
2/26/2007,145.9499969,144.75,145.8300018,145.1699982,69192800,109.8064499
2/27/2007,144.1999969,139,143.8800049,139.5,274466500,105.5176468
2/28/2007,141.9799957,139.8000031,140.3899994,140.9299927,177536300,106.5992966
3/1/2007,141.25,138.0500031,139.3399963,140.5099945,212828600,106.2816238
3/2/2007,140.6600037,138.6600037,140.0500031,138.6699982,162574000,104.8898315
3/5/2007,139.5800018,137.3300018,137.9299927,137.3500061,143750400,103.8914261
3/6/2007,140.1199951,137.7200012,138.7799988,139.6999969,143333300,105.6688919
3/7/2007,140.4600067,139.3999939,139.5899963,139.5599976,115144900,105.5630417
3/8/2007,141.1600037,140.0700073,140.5399933,140.7400055,117891600,106.4556198
3/9/2007,141.4199982,140.0800018,141.3099976,140.7799988,107765100,106.4858551
3/12/2007,141.3399963,140.1600037,140.4199982,140.9900055,80366900,106.6446533
3/13/2007,140.7700043,138.0399933,140.1799927,138.25,190605200,104.5721664
3/14/2007,139.3600006,136.75,138.4299927,139.2799988,231853800,105.3512726
3/15/2007,139.9900055,138.8000031,138.9700012,139.4700012,132435900,105.4949188
3/16/2007,139.6300049,138.1199951,139.3099976,138.5299988,121531600,105.199585
3/19/2007,140.3300018,139.1499939,139.2599945,140.1999969,96161200,106.4677811
3/20/2007,141.0500031,139.9600067,140.0800018,140.9700012,82147400,107.0524673
3/21/2007,143.6499939,140.8200073,141.1000061,143.2899933,152368700,108.8143158
3/22/2007,143.6799927,142.7899933,143.4799957,143.1799927,118942200,108.730751
3/23/2007,143.8099976,143.1499939,143.2799988,143.3899994,74416800,108.8902359
3/26/2007,143.6499939,142.0899963,143.5,143.1999969,113787500,108.7459641
3/27/2007,143.1600037,142.3899994,143.1199951,142.8600006,99864600,108.4877548
3/28/2007,142.4700012,141.2599945,142.1399994,141.8200073,152907900,107.6979828
3/29/2007,142.6100006,141.1900024,142.5399933,141.9700012,139432700,107.8118744
3/30/2007,142.8399963,140.5599976,142.2400055,142,128194100,107.8346786
4/2/2007,142.4600067,141.4799957,142.1600037,142.1600037,79416400,107.9561691
4/3/2007,143.9799957,142.9100037,142.9700012,143.6900024,82417800,109.1180954
4/4/2007,143.9499969,143.1600037,143.6900024,143.8500061,63995200,109.2395782
4/5/2007,144.4400024,143.6100006,143.6699982,144.2400055,46822800,109.5357437
4/9/2007,144.8000031,144.1499939,144.6499939,144.4400024,50967400,109.6876221
4/10/2007,144.8500061,144.2700043,144.3300018,144.6100006,56620000,109.8167038
4/11/2007,144.8600006,143.5399933,144.8200073,144.0200043,106365700,109.3686371
4/12/2007,144.9199982,143.3399963,143.7400055,144.6600037,115534400,109.85466
4/13/2007,145.3200073,144.3600006,144.8999939,145.3200073,84287000,110.3558655
4/16/2007,146.8600006,145.8200073,145.8300018,146.6999969,83064600,111.4037933
4/17/2007,147.3999939,146.6499939,146.9700012,147.0899963,108424100,111.7000046
4/18/2007,147.6999969,146.5700073,146.6000061,147.2700043,88345300,111.8367233
4/19/2007,147.3999939,146.3600006,146.5500031,147.2299957,102947700,111.8062973
4/20/2007,148.6199951,147.0399933,148.2200012,148.6199951,124114100,112.8618698
4/23/2007,148.7299957,147.9700012,148.3699951,148.0599976,77270800,112.4366074
4/24/2007,148.3999939,147.3200073,148.2299957,148.1199951,114471000,112.4821854
4/25/2007,149.6600037,148.0200043,148.7299957,149.4799957,108418800,113.514946
4/26/2007,149.8000031,149.1000061,149.4900055,149.6499939,88741600,113.6440811
4/27/2007,149.7400055,148.8399963,149.0899963,149.5299988,108191100,113.5529099
4/30/2007,149.7400055,148.2100067,149.6399994,148.2899933,100874100,112.6112747
5/1/2007,149.4700012,147.6699982,148.4199982,148.6699982,134342700,112.8998566
