country,date,confirmed
Afghanistan,7/2/2020,32022
Afghanistan,7/3/2020,32324
Afghanistan,7/4/2020,32672
Afghanistan,7/5/2020,32951
Afghanistan,7/6/2020,33190
Afghanistan,7/7/2020,33384
Afghanistan,7/8/2020,33594
Afghanistan,7/9/2020,33908
Afghanistan,7/10/2020,34194
Afghanistan,7/11/2020,34366
Afghanistan,7/12/2020,34451
Afghanistan,7/13/2020,34455
Afghanistan,7/14/2020,34740
Afghanistan,7/15/2020,34994
Afghanistan,7/16/2020,35070
Afghanistan,7/17/2020,35229
Afghanistan,7/18/2020,35301
Afghanistan,7/19/2020,35475
Afghanistan,7/20/2020,35526
Afghanistan,7/21/2020,35615
Afghanistan,7/22/2020,35727
Afghanistan,7/23/2020,35928
Afghanistan,7/24/2020,35981
Afghanistan,7/25/2020,36036
Afghanistan,7/26/2020,36157
Afghanistan,7/27/2020,36263
Afghanistan,7/28/2020,36368
Afghanistan,7/29/2020,36471
Afghanistan,7/30/2020,36542
Afghanistan,7/31/2020,36675
Afghanistan,8/1/2020,36710
Afghanistan,8/2/2020,36710
Afghanistan,8/3/2020,36747
Afghanistan,8/4/2020,36782
Afghanistan,8/5/2020,36829
Afghanistan,8/6/2020,36896
Afghanistan,8/7/2020,37015
Afghanistan,8/8/2020,37054
Afghanistan,8/9/2020,37054
Afghanistan,8/10/2020,37162
Afghanistan,8/11/2020,37269
Afghanistan,8/12/2020,37345
Afghanistan,8/13/2020,37424
Afghanistan,8/14/2020,37431
Albania,1/22/2020,0
Albania,1/23/2020,0
Albania,1/24/2020,0
Albania,1/25/2020,0
Albania,1/26/2020,0
Albania,1/27/2020,0
Albania,1/28/2020,0
Albania,1/29/2020,0
Albania,1/30/2020,0
Albania,1/31/2020,0
Albania,2/1/2020,0
Albania,2/2/2020,0
Albania,2/3/2020,0
Albania,2/4/2020,0
Albania,2/5/2020,0
Albania,2/6/2020,0
Albania,2/7/2020,0
Albania,2/8/2020,0
Albania,2/9/2020,0
Albania,2/10/2020,0
Albania,2/11/2020,0
Albania,2/12/2020,0
Albania,2/13/2020,0
Albania,2/14/2020,0
Albania,2/15/2020,0
Albania,2/16/2020,0
Albania,2/17/2020,0
Albania,2/18/2020,0
Albania,2/19/2020,0
Albania,2/20/2020,0
Albania,2/21/2020,0
Albania,2/22/2020,0
Albania,2/23/2020,0
Albania,2/24/2020,0
Albania,2/25/2020,0
Albania,2/26/2020,0
Albania,2/27/2020,0
Albania,2/28/2020,0
Albania,2/29/2020,0
Albania,3/1/2020,0
Albania,3/2/2020,0
Albania,3/3/2020,0
Albania,3/4/2020,0
Albania,3/5/2020,0
Albania,3/6/2020,0
Albania,3/7/2020,0
Albania,3/8/2020,0
Albania,3/9/2020,2
Albania,3/10/2020,10
Albania,3/11/2020,12
Albania,3/12/2020,23
Albania,3/13/2020,33
Albania,3/14/2020,38
Albania,3/15/2020,42
Albania,3/16/2020,51
Albania,3/17/2020,55
Albania,3/18/2020,59
Albania,3/19/2020,64
Albania,3/20/2020,70
Albania,3/21/2020,76
Albania,3/22/2020,89
Albania,3/23/2020,104
Albania,3/24/2020,123
Albania,3/25/2020,146
Albania,3/26/2020,174
Albania,3/27/2020,186
Albania,3/28/2020,197
Albania,3/29/2020,212
Albania,3/30/2020,223
Albania,3/31/2020,243
Albania,4/1/2020,259
Albania,4/2/2020,277
Albania,4/3/2020,304
Albania,4/4/2020,333
Albania,4/5/2020,361
Albania,4/6/2020,377
Albania,4/7/2020,383
Albania,4/8/2020,400
Albania,4/9/2020,409
Albania,4/10/2020,416
Albania,4/11/2020,433
Albania,4/12/2020,446
Albania,4/13/2020,467
Albania,4/14/2020,475
Albania,4/15/2020,494
Albania,4/16/2020,518
Albania,4/17/2020,539
Albania,4/18/2020,548
Albania,4/19/2020,562
Albania,4/20/2020,584
Albania,4/21/2020,609
Albania,4/22/2020,634
Albania,4/23/2020,663
Albania,4/24/2020,678
Albania,4/25/2020,712
Albania,4/26/2020,726
Albania,4/27/2020,736
Albania,4/28/2020,750
Albania,4/29/2020,766
Albania,4/30/2020,773
Albania,5/1/2020,782
Albania,5/2/2020,789
Albania,5/3/2020,795
Albania,5/4/2020,803
Albania,5/5/2020,820
Albania,5/6/2020,832
Albania,5/7/2020,842
Albania,5/8/2020,850
Albania,5/9/2020,856
Albania,5/10/2020,868
Albania,5/11/2020,872
Albania,5/12/2020,876
Albania,5/13/2020,880
Albania,5/14/2020,898
Albania,5/15/2020,916
Albania,5/16/2020,933
Albania,5/17/2020,946
Albania,5/18/2020,948
Albania,5/19/2020,949
Albania,5/20/2020,964
Albania,5/21/2020,969
Albania,5/22/2020,981
Albania,5/23/2020,989
Albania,5/24/2020,998
Albania,5/25/2020,1004
Albania,5/26/2020,1029
Albania,5/27/2020,1050
Albania,5/28/2020,1076
Albania,5/29/2020,1099
Albania,5/30/2020,1122
Albania,5/31/2020,1137
Albania,6/1/2020,1143
Albania,6/2/2020,1164
Albania,6/3/2020,1184
Albania,6/4/2020,1197
Albania,6/5/2020,1212
Albania,6/6/2020,1232
Albania,6/7/2020,1246
Albania,6/8/2020,1263
Albania,6/9/2020,1299
Albania,6/10/2020,1341
Albania,6/11/2020,1385
Albania,6/12/2020,1416
Albania,6/13/2020,1464
Albania,6/14/2020,1521
Albania,6/15/2020,1590
Albania,6/16/2020,1672
Albania,6/17/2020,1722
Albania,6/18/2020,1788
Albania,6/19/2020,1838
Albania,6/20/2020,1891
Albania,6/21/2020,1962
Albania,6/22/2020,1995
Albania,6/23/2020,2047
Albania,6/24/2020,2114
Albania,6/25/2020,2192
Albania,6/26/2020,2269
Albania,6/27/2020,2330
Albania,6/28/2020,2402
Albania,6/29/2020,2466
Albania,6/30/2020,2535
Albania,7/1/2020,2580
Albania,7/2/2020,2662
Albania,7/3/2020,2752
Albania,7/4/2020,2819
Albania,7/5/2020,2893
Albania,7/6/2020,2964
Albania,7/7/2020,3038
Albania,7/8/2020,3106
Albania,7/9/2020,3188
Albania,7/10/2020,3278
Albania,7/11/2020,3371
Albania,7/12/2020,3454
Albania,7/13/2020,3571
Albania,7/14/2020,3667
Albania,7/15/2020,3752
Albania,7/16/2020,3851
Albania,7/17/2020,3906
Albania,7/18/2020,4008
Albania,7/19/2020,4090
Albania,7/20/2020,4171
Albania,7/21/2020,4290
Albania,7/22/2020,4358
Albania,7/23/2020,4466
Albania,7/24/2020,4570
Albania,7/25/2020,4637
Albania,7/26/2020,4763
Albania,7/27/2020,4880
Albania,7/28/2020,4997
Albania,7/29/2020,5105
Albania,7/30/2020,5197
Albania,7/31/2020,5276
Albania,8/1/2020,5396
Albania,8/2/2020,5519
Albania,8/3/2020,5620
Albania,8/4/2020,5750
Albania,8/5/2020,5889
Albania,8/6/2020,6016
Albania,8/7/2020,6151
Albania,8/8/2020,6275
Albania,8/9/2020,6411
Albania,8/10/2020,6536
Albania,8/11/2020,6676
Albania,8/12/2020,6817
Albania,8/13/2020,6971
Albania,8/14/2020,7117
Algeria,1/22/2020,0
Algeria,1/23/2020,0
Algeria,1/24/2020,0
Algeria,1/25/2020,0
Algeria,1/26/2020,0
Algeria,1/27/2020,0
Algeria,1/28/2020,0
Algeria,1/29/2020,0
Algeria,1/30/2020,0
Algeria,1/31/2020,0
Algeria,2/1/2020,0
Algeria,2/2/2020,0
Algeria,2/3/2020,0
Algeria,2/4/2020,0
Algeria,2/5/2020,0
Algeria,2/6/2020,0
Algeria,2/7/2020,0
Algeria,2/8/2020,0
Algeria,2/9/2020,0
Algeria,2/10/2020,0
Algeria,2/11/2020,0
Algeria,2/12/2020,0
Algeria,2/13/2020,0
Algeria,2/14/2020,0
Algeria,2/15/2020,0
Algeria,2/16/2020,0
Algeria,2/17/2020,0
Algeria,2/18/2020,0
Algeria,2/19/2020,0
Algeria,2/20/2020,0
Algeria,2/21/2020,0
Algeria,2/22/2020,0
Algeria,2/23/2020,0
Algeria,2/24/2020,0
Algeria,2/25/2020,1
Algeria,2/26/2020,1
Algeria,2/27/2020,1
Algeria,2/28/2020,1
Algeria,2/29/2020,1
Algeria,3/1/2020,1
Algeria,3/2/2020,3
Algeria,3/3/2020,5
Algeria,3/4/2020,12
Algeria,3/5/2020,12
Algeria,3/6/2020,17
Algeria,3/7/2020,17
Algeria,3/8/2020,19
Algeria,3/9/2020,20
Algeria,3/10/2020,20
Algeria,3/11/2020,20
Algeria,3/12/2020,24
Algeria,3/13/2020,26
Algeria,3/14/2020,37
Algeria,3/15/2020,48
Algeria,3/16/2020,54
Algeria,3/17/2020,60
Algeria,3/18/2020,74
Algeria,3/19/2020,87
Algeria,3/20/2020,90
Algeria,3/21/2020,139
Algeria,3/22/2020,201
Algeria,3/23/2020,230
Algeria,3/24/2020,264
Algeria,3/25/2020,302
Algeria,3/26/2020,367
Algeria,3/27/2020,409
Algeria,3/28/2020,454
Algeria,3/29/2020,511
Algeria,3/30/2020,584
Algeria,3/31/2020,716
Algeria,4/1/2020,847
Algeria,4/2/2020,986
Algeria,4/3/2020,1171
Algeria,4/4/2020,1251
Algeria,4/5/2020,1320
Algeria,4/6/2020,1423
Algeria,4/7/2020,1468
Algeria,4/8/2020,1572
Algeria,4/9/2020,1666
Algeria,4/10/2020,1761
Algeria,4/11/2020,1825
Algeria,4/12/2020,1914
Algeria,4/13/2020,1983
Algeria,4/14/2020,2070
Algeria,4/15/2020,2160
Algeria,4/16/2020,2268
Algeria,4/17/2020,2418
Algeria,4/18/2020,2534
Algeria,4/19/2020,2629
Algeria,4/20/2020,2718
Algeria,4/21/2020,2811
Algeria,4/22/2020,2910
Algeria,4/23/2020,3007
Algeria,4/24/2020,3127
Algeria,4/25/2020,3256
Algeria,4/26/2020,3382
Algeria,4/27/2020,3517
Algeria,4/28/2020,3649
Algeria,4/29/2020,3848
Algeria,4/30/2020,4006
Algeria,5/1/2020,4154
Algeria,5/2/2020,4295
Algeria,5/3/2020,4474
Algeria,5/4/2020,4648
Algeria,5/5/2020,4838
Algeria,5/6/2020,4997
Algeria,5/7/2020,5182
Algeria,5/8/2020,5369
Algeria,5/9/2020,5558
Algeria,5/10/2020,5723
Algeria,5/11/2020,5891
Algeria,5/12/2020,6067
Algeria,5/13/2020,6253
Algeria,5/14/2020,6442
Algeria,5/15/2020,6629
Algeria,5/16/2020,6821
Algeria,5/17/2020,7019
Algeria,5/18/2020,7201
Algeria,5/19/2020,7377
Algeria,5/20/2020,7542
Algeria,5/21/2020,7728
Algeria,5/22/2020,7918
Algeria,5/23/2020,8113
Algeria,5/24/2020,8306
Algeria,5/25/2020,8503
Algeria,5/26/2020,8697
Algeria,5/27/2020,8857
Algeria,5/28/2020,8997
Algeria,5/29/2020,9134
Algeria,5/30/2020,9267
Algeria,5/31/2020,9394
Algeria,6/1/2020,9513
Algeria,6/2/2020,9626
Algeria,6/3/2020,9733
Algeria,6/4/2020,9831
Algeria,6/5/2020,9935
Algeria,6/6/2020,10050
Algeria,6/7/2020,10154
Algeria,6/8/2020,10265
Algeria,6/9/2020,10382
Algeria,6/10/2020,10484
Algeria,6/11/2020,10589
Algeria,6/12/2020,10698
Algeria,6/13/2020,10810
Algeria,6/14/2020,10919
Algeria,6/15/2020,11031
Algeria,6/16/2020,11147
Algeria,6/17/2020,11268
Algeria,6/18/2020,11385
Algeria,6/19/2020,11504
Algeria,6/20/2020,11631
Algeria,6/21/2020,11771
Algeria,6/22/2020,11920
Algeria,6/23/2020,12076
Algeria,6/24/2020,12248
Algeria,6/25/2020,12445
Algeria,6/26/2020,12685
Algeria,6/27/2020,12968
Algeria,6/28/2020,13273
Algeria,6/29/2020,13571
Algeria,6/30/2020,13907
Algeria,7/1/2020,14272
Algeria,7/2/2020,14657
Algeria,7/3/2020,15070
Algeria,7/4/2020,15500
Algeria,7/5/2020,15941
Algeria,7/6/2020,16404
Algeria,7/7/2020,16879
Algeria,7/8/2020,17348
Algeria,7/9/2020,17808
Algeria,7/10/2020,18242
Algeria,7/11/2020,18712
Algeria,7/12/2020,19195
Algeria,7/13/2020,19689
Algeria,7/14/2020,20216
Algeria,7/15/2020,20770
Algeria,7/16/2020,21355
Algeria,7/17/2020,21948
Algeria,7/18/2020,22549
Algeria,7/19/2020,23084
Algeria,7/20/2020,23691
Algeria,7/21/2020,24278
Algeria,7/22/2020,24872
Algeria,7/23/2020,25484
Algeria,7/24/2020,26159
Algeria,7/25/2020,26764
Algeria,7/26/2020,27357
Algeria,7/27/2020,27973
Algeria,7/28/2020,28615
Algeria,7/29/2020,29229
Algeria,7/30/2020,29831
Algeria,7/31/2020,30394
Algeria,8/1/2020,30950
Algeria,8/2/2020,31465
Algeria,8/3/2020,31972
Algeria,8/4/2020,32504
Algeria,8/5/2020,33055
Algeria,8/6/2020,33626
Algeria,8/7/2020,34155
Algeria,8/8/2020,34693
Algeria,8/9/2020,35160
Algeria,8/10/2020,35712
Algeria,8/11/2020,36204
Algeria,8/12/2020,36699
Algeria,8/13/2020,37187
Algeria,8/14/2020,37664
Andorra,1/22/2020,0
Andorra,1/23/2020,0
Andorra,1/24/2020,0
Andorra,1/25/2020,0
Andorra,1/26/2020,0
Andorra,1/27/2020,0
Andorra,1/28/2020,0
Andorra,1/29/2020,0
Andorra,1/30/2020,0
Andorra,1/31/2020,0
Andorra,2/1/2020,0
Andorra,2/2/2020,0
Andorra,2/3/2020,0
Andorra,2/4/2020,0
Andorra,2/5/2020,0
Andorra,2/6/2020,0
Andorra,2/7/2020,0
Andorra,2/8/2020,0
Andorra,2/9/2020,0
Andorra,2/10/2020,0
Andorra,2/11/2020,0
Andorra,2/12/2020,0
Andorra,2/13/2020,0
Andorra,2/14/2020,0
Andorra,2/15/2020,0
Andorra,2/16/2020,0
Andorra,2/17/2020,0
Andorra,2/18/2020,0
Andorra,2/19/2020,0
Andorra,2/20/2020,0
Andorra,2/21/2020,0
Andorra,2/22/2020,0
Andorra,2/23/2020,0
Andorra,2/24/2020,0
Andorra,2/25/2020,0
Andorra,2/26/2020,0
Andorra,2/27/2020,0
Andorra,2/28/2020,0
Andorra,2/29/2020,0
Andorra,3/1/2020,0
Andorra,3/2/2020,1
Andorra,3/3/2020,1
Andorra,3/4/2020,1
Andorra,3/5/2020,1
Andorra,3/6/2020,1
Andorra,3/7/2020,1
Andorra,3/8/2020,1
Andorra,3/9/2020,1
Andorra,3/10/2020,1
Andorra,3/11/2020,1
Andorra,3/12/2020,1
Andorra,3/13/2020,1
Andorra,3/14/2020,1
Andorra,3/15/2020,1
Andorra,3/16/2020,2
Andorra,3/17/2020,39
Andorra,3/18/2020,39
Andorra,3/19/2020,53
Andorra,3/20/2020,75
Andorra,3/21/2020,88
Andorra,3/22/2020,113
Andorra,3/23/2020,133
Andorra,3/24/2020,164
Andorra,3/25/2020,188
Andorra,3/26/2020,224
Andorra,3/27/2020,267
Andorra,3/28/2020,308
Andorra,3/29/2020,334
Andorra,3/30/2020,370
Andorra,3/31/2020,376
Andorra,4/1/2020,390
Andorra,4/2/2020,428
Andorra,4/3/2020,439
Andorra,4/4/2020,466
Andorra,4/5/2020,501
Andorra,4/6/2020,525
Andorra,4/7/2020,545
Andorra,4/8/2020,564
Andorra,4/9/2020,583
Andorra,4/10/2020,601
Andorra,4/11/2020,601
Andorra,4/12/2020,638
Andorra,4/13/2020,646
Andorra,4/14/2020,659
Andorra,4/15/2020,673
Andorra,4/16/2020,673
Andorra,4/17/2020,696
Andorra,4/18/2020,704
Andorra,4/19/2020,713
Andorra,4/20/2020,717
Andorra,4/21/2020,717
Andorra,4/22/2020,723
Andorra,4/23/2020,723
Andorra,4/24/2020,731
Andorra,4/25/2020,738
Andorra,4/26/2020,738
Andorra,4/27/2020,743
Andorra,4/28/2020,743
Andorra,4/29/2020,743
Andorra,4/30/2020,745
Andorra,5/1/2020,745
Andorra,5/2/2020,747
Andorra,5/3/2020,748
Andorra,5/4/2020,750
Andorra,5/5/2020,751
Andorra,5/6/2020,751
Andorra,5/7/2020,752
Andorra,5/8/2020,752
Andorra,5/9/2020,754
Andorra,5/10/2020,755
Andorra,5/11/2020,755
Andorra,5/12/2020,758
Andorra,5/13/2020,760
Andorra,5/14/2020,761
Andorra,5/15/2020,761
Andorra,5/16/2020,761
Andorra,5/17/2020,761
Andorra,5/18/2020,761
Andorra,5/19/2020,761
Andorra,5/20/2020,762
Andorra,5/21/2020,762
Andorra,5/22/2020,762
Andorra,5/23/2020,762
Andorra,5/24/2020,762
Andorra,5/25/2020,763
Andorra,5/26/2020,763
Andorra,5/27/2020,763
Andorra,5/28/2020,763
Andorra,5/29/2020,764
Andorra,5/30/2020,764
Andorra,5/31/2020,764
Andorra,6/1/2020,765
Andorra,6/2/2020,844
Andorra,6/3/2020,851
Andorra,6/4/2020,852
Andorra,6/5/2020,852
Andorra,6/6/2020,852
Andorra,6/7/2020,852
Andorra,6/8/2020,852
Andorra,6/9/2020,852
Andorra,6/10/2020,852
Andorra,6/11/2020,852
Andorra,6/12/2020,853
Andorra,6/13/2020,853
Andorra,6/14/2020,853
Andorra,6/15/2020,853
Andorra,6/16/2020,854
Andorra,6/17/2020,854
Andorra,6/18/2020,855
Andorra,6/19/2020,855
Andorra,6/20/2020,855
Andorra,6/21/2020,855
Andorra,6/22/2020,855
Andorra,6/23/2020,855
Andorra,6/24/2020,855
Andorra,6/25/2020,855
Andorra,6/26/2020,855
Andorra,6/27/2020,855
Andorra,6/28/2020,855
Andorra,6/29/2020,855
Andorra,6/30/2020,855
Andorra,7/1/2020,855
Andorra,7/2/2020,855
Andorra,7/3/2020,855
Andorra,7/4/2020,855
Andorra,7/5/2020,855
Andorra,7/6/2020,855
Andorra,7/7/2020,855
Andorra,7/8/2020,855
Andorra,7/9/2020,855
Andorra,7/10/2020,855
Andorra,7/11/2020,855
Andorra,7/12/2020,855
Andorra,7/13/2020,858
Andorra,7/14/2020,861
Andorra,7/15/2020,862
Andorra,7/16/2020,877
Andorra,7/17/2020,880
Andorra,7/18/2020,880
Andorra,7/19/2020,880
Andorra,7/20/2020,884
Andorra,7/21/2020,884
Andorra,7/22/2020,889
Andorra,7/23/2020,889
Andorra,7/24/2020,897
Andorra,7/25/2020,897
Andorra,7/26/2020,897
Andorra,7/27/2020,907
Andorra,7/28/2020,907
Andorra,7/29/2020,918
Andorra,7/30/2020,922
Andorra,7/31/2020,925
Andorra,8/1/2020,925
Andorra,8/2/2020,925
Andorra,8/3/2020,937
Andorra,8/4/2020,939
Andorra,8/5/2020,939
Andorra,8/6/2020,944
Andorra,8/7/2020,955
Andorra,8/8/2020,955
Andorra,8/9/2020,955
Andorra,8/10/2020,963
Andorra,8/11/2020,963
Andorra,8/12/2020,977
Andorra,8/13/2020,981
Andorra,8/14/2020,989
Angola,1/22/2020,0
Angola,1/23/2020,0
Angola,1/24/2020,0
Angola,1/25/2020,0
Angola,1/26/2020,0
Angola,1/27/2020,0
Angola,1/28/2020,0
Angola,1/29/2020,0
Angola,1/30/2020,0
Angola,1/31/2020,0
Angola,2/1/2020,0
Angola,2/2/2020,0
Angola,2/3/2020,0
Angola,2/4/2020,0
Angola,2/5/2020,0
Angola,2/6/2020,0
Angola,2/7/2020,0
Angola,2/8/2020,0
Angola,2/9/2020,0
Angola,2/10/2020,0
Angola,2/11/2020,0
Angola,2/12/2020,0
Angola,2/13/2020,0
Angola,2/14/2020,0
Angola,2/15/2020,0
Angola,2/16/2020,0
Angola,2/17/2020,0
Angola,2/18/2020,0
Angola,2/19/2020,0
Angola,2/20/2020,0
Angola,2/21/2020,0
Angola,2/22/2020,0
Angola,2/23/2020,0
Angola,2/24/2020,0
Angola,2/25/2020,0
Angola,2/26/2020,0
Angola,2/27/2020,0
Angola,2/28/2020,0
Angola,2/29/2020,0
Angola,3/1/2020,0
Angola,3/2/2020,0
Angola,3/3/2020,0
Angola,3/4/2020,0
Angola,3/5/2020,0
Angola,3/6/2020,0
Angola,3/7/2020,0
Angola,3/8/2020,0
Angola,3/9/2020,0
Angola,3/10/2020,0
Angola,3/11/2020,0
Angola,3/12/2020,0
Angola,3/13/2020,0
Angola,3/14/2020,0
Angola,3/15/2020,0
Angola,3/16/2020,0
Angola,3/17/2020,0
Angola,3/18/2020,0
Angola,3/19/2020,0
Angola,3/20/2020,1
Angola,3/21/2020,2
Angola,3/22/2020,2
Angola,3/23/2020,3
Angola,3/24/2020,3
Angola,3/25/2020,3
Angola,3/26/2020,4
Angola,3/27/2020,4
Angola,3/28/2020,5
Angola,3/29/2020,7
Angola,3/30/2020,7
Angola,3/31/2020,7
Angola,4/1/2020,8
Angola,4/2/2020,8
Angola,4/3/2020,8
Angola,4/4/2020,10
Angola,4/5/2020,14
Angola,4/6/2020,16
Angola,4/7/2020,17
Angola,4/8/2020,19
Angola,4/9/2020,19
Angola,4/10/2020,19
Angola,4/11/2020,19
Angola,4/12/2020,19
Angola,4/13/2020,19
Angola,4/14/2020,19
Angola,4/15/2020,19
Angola,4/16/2020,19
Angola,4/17/2020,19
Angola,4/18/2020,24
Angola,4/19/2020,24
Angola,4/20/2020,24
Angola,4/21/2020,24
Angola,4/22/2020,25
Angola,4/23/2020,25
Angola,4/24/2020,25
Angola,4/25/2020,25
Angola,4/26/2020,26
Angola,4/27/2020,27
Angola,4/28/2020,27
Angola,4/29/2020,27
Angola,4/30/2020,27
Angola,5/1/2020,30
Angola,5/2/2020,35
Angola,5/3/2020,35
Angola,5/4/2020,35
Angola,5/5/2020,36
Angola,5/6/2020,36
Angola,5/7/2020,36
Angola,5/8/2020,43
Angola,5/9/2020,43
Angola,5/10/2020,45
Angola,5/11/2020,45
Angola,5/12/2020,45
Angola,5/13/2020,45
Angola,5/14/2020,48
Angola,5/15/2020,48
Angola,5/16/2020,48
Angola,5/17/2020,48
Angola,5/18/2020,50
Angola,5/19/2020,52
Angola,5/20/2020,52
Angola,5/21/2020,58
Angola,5/22/2020,60
Angola,5/23/2020,61
Angola,5/24/2020,69
Angola,5/25/2020,70
Angola,5/26/2020,70
Angola,5/27/2020,71
Angola,5/28/2020,74
Angola,5/29/2020,81
Angola,5/30/2020,84
Angola,5/31/2020,86
Angola,6/1/2020,86
Angola,6/2/2020,86
Angola,6/3/2020,86
Angola,6/4/2020,86
Angola,6/5/2020,86
Angola,6/6/2020,88
Angola,6/7/2020,91
Angola,6/8/2020,92
Angola,6/9/2020,96
Angola,6/10/2020,113
Angola,6/11/2020,118
Angola,6/12/2020,130
Angola,6/13/2020,138
Angola,6/14/2020,140
Angola,6/15/2020,142
